precipitaciones,velocidad_media_viento,velocidad_maxima_viento,direccion_media_viento,direccion_maxima_viento,humedad_relativa,insolacion,presion,temperatura_suelo,temperatura,temperatura_minima,temperatura_maxima,visibilidad,recorrido_viento,nieve,energia_generada
0.0,8.6,0,202.61,0,34.93,0,0,56.3,56.3,67.9,44.3,9.9,41.7,0.0,27997
0.62,7.4,0,144.35,0,86.45,0,0,53.8,53.8,58.4,49.3,8.0,48.4,0.0,2734
0.0,11.0,0,245.22,0,75.69,0,0,60.1,60.1,68.8,51.0,9.9,0.0,0.0,16744
0.06,8.2,0,87.39,0,87.13,0,0,53.6,53.6,59.2,46.0,9.5,0.0,0.0,6745
0.0,12.0,0,218.91,0,69.42,0,0,54.0,54.0,65.3,45.5,7.2,42.3,0.0,20752
0.0,16.1,0,300.83,0,44.78,0,0,53.4,53.4,65.6,44.1,9.9,38.4,0.0,31130
0.0,9.4,0,124.09,0,59.38,0,0,55.0,55.0,71.7,36.8,9.8,0.0,0.0,22020
2.25,16.6,0,192.61,0,68.7,0,0,60.0,60.0,70.5,49.4,8.3,46.4,0.0,18948
0.0,18.8,0,312.17,0,51.99,0,0,55.3,55.3,65.1,48.3,9.9,43.7,0.0,18649
0.0,7.9,0,151.74,0,56.84,0,0,59.2,59.2,75.8,41.2,9.9,48.4,0.0,24834
0.0,11.7,0,172.61,0,58.67,0,0,66.1,66.1,83.6,45.5,9.9,0.0,0.0,29026
0.0,13.9,0,288.33,0,53.41,0,0,69.4,69.4,76.9,62.1,9.7,0.0,0.0,26574
0.25,6.7,0,149.59,0,79.6,0,0,62.3,62.3,70.1,55.4,9.2,0.0,0.0,17610
0.11,10.6,0,272.5,0,65.23,0,0,52.3,52.3,60.6,42.2,9.5,38.4,0.0,21121
0.0,14.1,0,271.09,0,52.04,0,0,49.9,49.9,61.5,40.6,9.9,37.2,0.0,30517
0.02,11.8,0,137.83,0,78.85,0,0,46.5,46.5,56.9,37.7,9.7,40.5,0.0,6314
0.0,13.7,0,334.17,0,47.56,0,0,45.8,45.8,55.7,38.1,9.9,31.4,0.0,31885
0.0,10.8,0,146.25,0,58.32,0,0,49.0,49.0,67.8,30.4,9.9,33.3,0.0,31142
0.0,15.6,0,282.92,0,48.45,0,0,50.6,50.6,58.5,42.4,9.8,39.1,0.0,29755
0.0,8.1,0,247.27,0,52.91,0,0,48.8,48.8,60.5,37.4,9.9,35.5,0.0,21329
0.0,5.7,0,125.24,0,68.3,0,0,54.8,54.8,65.5,46.8,9.9,0.0,0.0,15468
0.0,11.9,0,134.17,0,72.49,0,0,61.9,61.9,75.2,48.2,9.7,0.0,0.0,19982
0.0,10.3,0,152.61,0,65.64,0,0,66.5,66.5,77.8,54.7,9.7,0.0,0.0,30128
0.0,8.3,0,67.27,0,68.93,0,0,66.0,66.0,80.3,50.1,9.9,0.0,0.0,29285
0.0,8.0,0,84.29,0,74.15,0,0,66.2,66.2,78.4,53.0,9.9,0.0,0.0,22536
1.37,5.4,0,83.86,0,93.6,0,0,63.4,63.4,66.3,60.7,7.8,0.0,0.0,6289
1.09,5.6,0,114.0,0,94.5,0,0,59.4,59.4,64.4,51.6,7.1,0.0,0.0,6508
1.97,3.4,0,11.0,0,93.6,0,0,49.9,49.9,53.0,47.4,5.7,46.7,0.0,3983
0.31,6.1,0,68.57,0,88.56,0,0,57.2,57.2,67.1,50.5,8.0,0.0,0.0,18800
0.19,4.5,0,90.0,0,90.89,0,0,61.3,61.3,70.8,54.0,7.9,0.0,0.0,14022
0.0,6.7,0,162.92,0,80.09,0,0,67.8,67.8,81.0,56.6,7.6,0.0,0.0,24618
0.01,7.0,0,129.57,0,81.31,0,0,68.5,68.5,79.7,58.0,9.7,0.0,0.0,17852
0.0,7.9,0,88.64,0,85.58,0,0,67.6,67.6,75.3,59.5,9.6,0.0,0.0,24119
0.1,5.0,0,103.18,0,89.27,0,0,66.7,66.7,69.9,65.3,8.0,0.0,0.0,7537
0.01,4.4,0,35.0,0,85.37,0,0,65.3,65.3,67.9,62.5,9.0,0.0,0.0,6352
0.22,8.8,0,130.83,0,87.26,0,0,68.6,68.6,77.3,61.3,9.9,0.0,0.0,16872
0.03,8.2,0,90.43,0,86.48,0,0,68.2,68.2,78.1,62.0,7.1,0.0,0.0,16413
0.0,11.4,0,288.75,0,72.98,0,0,69.4,69.4,78.6,61.4,9.0,0.0,0.0,27459
0.0,11.3,0,333.75,0,58.18,0,0,67.5,67.5,75.9,61.1,9.9,0.0,0.0,26032
0.0,7.0,0,137.0,0,59.99,0,0,63.3,63.3,74.1,50.4,9.9,0.0,0.0,30869
